Name,xERA,EV,Contact%,AVG,K%,FBv,CTv,CBv,CHv,Location+,FB_Grouped
Chris Sale,2.79,86.5,0.711,0.215,0.321,94.8,90.4,79.3,86.9,111,Third_Quartile
Tarik Skubal,2.72,87.4,0.7170000000000001,0.2,0.303,96.8,92.3,78.5,86.3,100,Fourth_Quartile
Zack Wheeler,2.85,86.7,0.747,0.191,0.285,95.1,91.1,81.8,85.6,104,Third_Quartile
Cole Ragans,3.31,88.3,0.705,0.212,0.293,95.4,91.0,80.8,84.8,99,Fourth_Quartile
Seth Lugo,3.74,88.5,0.795,0.227,0.217,92.2,89.9,79.8,87.5,100,First_Quartile
Dylan Cease,3.31,89.0,0.693,0.197,0.294,96.9,91.8,82.5,69.7,104,Fourth_Quartile
Cristopher Sanchez,3.55,87.4,0.78,0.256,0.203,94.5,87.0,79.3,85.2,103,Third_Quartile
Logan Webb,4.3,89.8,0.8140000000000001,0.256,0.205,92.6,90.9,79.3,87.4,104,Second_Quartile
George Kirby,3.43,89.0,0.7859999999999999,0.242,0.23,96.1,92.3,83.3,85.6,110,Fourth_Quartile
Logan Gilbert,3.13,89.6,0.705,0.194,0.27399999999999997,96.6,92.4,83.3,85.6,113,Fourth_Quartile
Michael King,3.57,85.7,0.735,0.22,0.27699999999999997,93.3,85.8,79.3,86.7,104,Second_Quartile
Tanner Houck,4.07,89.4,0.789,0.23,0.207,93.6,87.1,79.3,85.6,105,Second_Quartile
Corbin Burnes,3.33,87.5,0.735,0.225,0.231,97.0,95.3,80.3,89.3,104,Fourth_Quartile
Sonny Gray,3.66,89.6,0.723,0.226,0.303,92.6,87.7,80.0,88.4,106,Second_Quartile
Framber Valdez,3.41,90.2,0.7440000000000001,0.218,0.24,94.2,85.1,79.7,89.9,101,Third_Quartile
Yusei Kikuchi,3.69,90.1,0.7340000000000001,0.242,0.28,95.6,91.1,82.5,86.8,106,Fourth_Quartile
Max Fried,3.69,86.3,0.7759999999999999,0.225,0.23199999999999998,93.8,89.4,74.7,85.8,99,Third_Quartile
Erick Fedde,3.91,88.6,0.807,0.23,0.212,93.0,90.0,79.3,85.6,109,Second_Quartile
Jack Flaherty,3.58,88.4,0.7120000000000001,0.222,0.299,93.2,88.9,77.4,85.9,105,Second_Quartile
Michael Wacha,4.03,86.9,0.784,0.243,0.212,93.6,88.5,75.2,81.3,104,Second_Quartile
Tanner Bibee,3.75,88.4,0.76,0.228,0.263,94.7,90.3,81.3,82.5,100,Third_Quartile
Pablo Lopez,3.66,87.9,0.7490000000000001,0.249,0.256,95.0,90.6,82.5,88.5,113,Third_Quartile
Hunter Brown,3.3,86.2,0.778,0.241,0.251,95.9,92.5,82.9,85.6,99,Fourth_Quartile
MacKenzie Gore,4.19,88.0,0.752,0.261,0.248,96.1,91.6,82.9,85.9,98,Fourth_Quartile
Shota Imanaga,3.38,88.6,0.7390000000000001,0.225,0.251,91.7,89.7,72.5,88.7,109,First_Quartile
Aaron Nola,3.73,88.5,0.772,0.246,0.24,92.1,87.5,79.2,85.8,101,First_Quartile
Brandon Pfaadt,3.76,89.4,0.768,0.256,0.243,93.8,89.4,80.8,87.5,107,Third_Quartile
Nestor Cortes,3.61,89.7,0.79,0.243,0.228,92.1,87.5,79.3,83.6,98,First_Quartile
Kevin Gausman,4.82,90.2,0.7909999999999999,0.236,0.214,93.9,89.5,79.3,85.6,105,Third_Quartile
Bailey Ober,3.21,87.5,0.728,0.206,0.26899999999999996,91.8,86.2,76.4,83.4,107,First_Quartile
Sean Manaea,3.74,88.6,0.76,0.201,0.249,92.4,88.3,79.3,85.4,97,First_Quartile
Zach Eflin,3.67,88.1,0.8079999999999999,0.253,0.196,91.9,88.2,78.9,85.7,109,First_Quartile
Bryce Miller,3.71,90.3,0.774,0.2,0.243,95.1,92.2,85.0,85.6,103,Third_Quartile
Nathan Eovaldi,3.89,89.3,0.7509999999999999,0.227,0.239,95.5,91.3,76.8,85.6,104,Fourth_Quartile
Brady Singer,4.67,88.9,0.769,0.251,0.223,92.2,87.9,79.3,87.9,100,First_Quartile
Ryan Feltner,4.3,88.1,0.7809999999999999,0.261,0.19899999999999998,94.5,90.1,79.3,85.3,100,Third_Quartile
Jameson Taillon,4.03,89.7,0.823,0.24,0.185,92.4,86.6,79.6,86.0,108,First_Quartile
Luis Castillo,3.91,89.7,0.768,0.237,0.243,95.6,91.1,79.3,88.1,103,Fourth_Quartile
Freddy Peralta,3.84,87.6,0.7190000000000001,0.221,0.276,94.4,90.0,78.2,87.8,102,Third_Quartile
Chris Bassitt,4.53,87.8,0.805,0.268,0.222,92.6,89.6,71.0,84.5,97,Second_Quartile
Ronel Blanco,4.01,88.7,0.733,0.188,0.24600000000000002,93.5,89.1,80.2,85.3,103,Second_Quartile
Mitch Keller,4.29,88.8,0.805,0.257,0.215,94.0,89.2,78.4,89.4,97,Third_Quartile
Luis Severino,3.86,87.1,0.812,0.241,0.212,96.0,92.8,79.3,86.2,96,Fourth_Quartile
Brayan Bello,4.54,88.5,0.753,0.25,0.218,95.7,91.2,79.3,87.7,107,Fourth_Quartile
Miles Mikolas,4.63,88.8,0.8590000000000001,0.281,0.16899999999999998,92.9,88.6,76.3,85.6,108,Second_Quartile
Jake Irvin,4.31,88.8,0.8029999999999999,0.243,0.203,93.8,90.0,81.2,88.6,103,Third_Quartile
Kutter Crawford,3.85,88.4,0.7659999999999999,0.222,0.231,92.6,87.5,77.4,85.6,104,Second_Quartile
Patrick Corbin,5.52,90.8,0.7879999999999999,0.294,0.182,91.5,85.5,79.3,81.1,102,First_Quartile
Carlos Rodon,4.12,90.4,0.716,0.235,0.265,95.5,91.8,81.1,85.6,95,Fourth_Quartile
Tyler Anderson,4.37,87.2,0.741,0.231,0.18600000000000003,89.4,84.2,71.7,79.0,96,First_Quartile
Kyle Gibson,4.86,88.2,0.7559999999999999,0.248,0.209,91.0,88.7,78.3,84.9,100,First_Quartile
Austin Gomber,5.05,90.2,0.821,0.271,0.16699999999999998,90.5,86.3,77.6,81.1,106,First_Quartile
JP Sears,4.42,89.3,0.8,0.247,0.18100000000000002,91.5,87.2,79.3,84.0,104,First_Quartile
Jose Berrios,4.74,89.6,0.8079999999999999,0.234,0.195,93.7,91.4,83.3,84.9,104,Second_Quartile
Jose Quintana,4.52,88.0,0.8009999999999999,0.233,0.188,90.8,86.6,77.6,85.8,101,First_Quartile
Charlie Morton,4.47,88.7,0.753,0.249,0.23800000000000002,94.0,88.6,81.6,85.0,96,Third_Quartile
Colin Rea,4.89,90.4,0.8270000000000001,0.256,0.18899999999999997,92.6,87.7,78.8,85.6,100,Second_Quartile
Griffin Canning,4.72,90.5,0.772,0.261,0.17600000000000002,93.5,89.1,80.6,88.6,102,Second_Quartile
